id,item,barcode,code,rs,bdt
1,3-Piece Set,09101600590AS-3,0AS-3,0,4200.00
,,,,,
2,3-Piece Set,09101900590EX-9,0EX-9,0,3950.00
,,,,,
3,3-Piece Set,09101900590EX-5,0EX-5,0,3950.00
,,,,,
4,3-Piece Set,09101900590EX-20,0EX-20,0,3750.00
,,,,,
5,3-Piece Set,09101900590EX-13,0EX-13,0,3750.00
,,,,,
6,3-Piece Set,09101900590EX-7,0EX-7,0,3950.00
,,,,,
7,3-Piece Set,09101900590EX-8,0EX-8,0,3950.00
,,,,,
8,3-Piece Set,09101900590EX-14,0EX-14,0,3750.00
,,,,,
9,3-Piece Set,09101600590RS-326,0RS-326,0,4750.00
,,,,,
10,3-Piece Set,09101900590RS-314,0RS-314,0,4500.00
,,,,,
11,3-Piece Set,09101600590RS-260,0RS-260,0,3950.00
,,,,,
12,3-Piece Set,09101900590RS-166104,0RS-166104,0,3900.00
,,,,,
13,3-Piece Set,09122000590RS-468,0RS-468,0,6575.00
,,,,,
14,3-Piece Set,09101600590RS-307,0RS-307,0,4500.00
,,,,,
15,3-Piece Set,09101600590RS-37,0RS-37,0,7500.00
,,,,,
16,3-Piece Set,09101600590RS-302,0RS-302,0,4500.00
,,,,,
17,3-Piece Set,09121500590RS-448,0RS-448,0,6595.00
,,,,,
18,3-Piece Set,09101600590RS-345,0RS-345,0,6250.00
,,,,,
19,3-Piece Set,10033000590RS-772,0RS-772,0,4675.00
,,,,,
20,3-Piece Set,10010300590RS-575,0RS-575,0,5675.00
,,,,,
21,3-Piece Set,09101900590RS-217,0RS-217,0,7600.00
,,,,,
22,3-Piece Set,09102000590RS-9908,0RS-9908,0,6990.00
,,,,,
23,3-Piece Set,10033000590RS-727,0RS-727,0,4375.00
,,,,,
24,3-Piece Set,09101600590RS-47,0RS-47,0,6500.00
,,,,,
25,3-Piece Set,09101600590RS-128013,0RS-128013,0,5950.00
,,,,,
26,3-Piece Set,09101600590RS-232,0RS-232,0,3500.00
,,,,,
27,3-Piece Set,09101600590RS-354,0RS-354,0,1700.00
,,,,,
28,3-Piece Set,09101600590RS-256,0RS-256,0,6950.00
,,,,,
29,3-Piece Set,09101900590RS-321,0RS-321,0,6250.00
,,,,,
30,3-Piece Set,09102100590RS-9911,0RS-9911,0,5750.00
,,,,,
31,3-Piece Set,09101600590RS-322,0RS-322,0,6250.00
,,,,,
32,3-Piece Set,09103100590RS-1690,0RS-1690,0,12500.00
,,,,,
33,3-Piece Set,10030400590RS-583,0RS-583,0,2295.00
,,,,,
34,3-Piece Set,10033000590RS-666,0RS-666,0,4375.00
,,,,,
35,3-Piece Set,09101900590RS-221,0RS-221,0,6500.00
,,,,,
36,3-Piece Set,10033000590RS-803,0RS-803,0,4475.00
,,,,,
37,3-Piece Set,10033000590RS-805,0RS-805,0,5075.00
,,,,,
38,3-Piece Set,09103100590RS-1561,0RS-1561,0,6950.00
,,,,,
39,3-Piece Set,09103100590RS-165,0RS-165,0,3900.00
,,,,,
40,3-Piece Set,09101900590RS-213,0RS-213,0,7600.00
,,,,,
41,3-Piece Set,09101600590RS-370,0RS-370,0,4700.00
,,,,,
42,3-Piece Set,09101600590RS-285,0RS-285,0,2500.00
,,,,,
43,3-Piece Set,10010300590RS-493,0RS-493,0,5375.00
,,,,,
44,3-Piece Set,09101600590RS-86,0RS-86,0,1500.00
,,,,,
45,3-Piece Set,09101600590RS-284,0RS-284,0,2500.00
,,,,,
46,3-Piece Set,10033000590RS-751,0RS-751,0,1575.00
,,,,,
47,3-Piece Set,10010300590RS-558,0RS-558,0,2575.00
48,3-Piece Set,09101600590RS-263,0RS-263,0,3950.00
,,,,,
49,3-Piece Set,10080800590RS-773,0RS-773,0,4675.00
,,,,,
50,3-Piece Set,09101600590RS-169,0RS-169,0,7500.00
,,,,,
51,3-Piece Set,09101600590RS-255,0RS-255,0,6950.00
,,,,,
52,3-Piece Set,09101600590RS-170,0RS-170,0,7500.00
,,,,,
53,3-Piece Set,09101600590RS-171,0RS-171,0,4875.00
,,,,,
54,3-Piece Set,09101600590RS-231,0RS-231,0,3500.00
,,,,,
55,3-Piece Set,10033000590RS-712,0RS-712,0,2250.00
,,,,,
56,3-Piece Set,09101600590RS-281,0RS-281,0,6950.00
,,,,,
57,3-Piece Set,10010300590RS-494,0RS-494,0,6775.00
,,,,,
58,3-Piece Set,10030400590RS-579,0RS-579,0,2295.00
,,,,,
59,3-Piece Set,09101600590RS-36,0RS-36,0,7500.00
,,,,,
60,3-Piece Set,09101600590RS-67,0RS-67,0,5850.00
,,,,,
61,3-Piece Set,09101600590RS-235,0RS-235,0,3750.00
,,,,,
62,3-Piece Set,10033000590RS-794,0RS-794,0,1775.00
,,,,,
63,3-Piece Set,10033000590RS-702,0RS-702,0,4475.00
,,,,,
64,3-Piece Set,09101600590RS-377,0RS-377,0,4700.00
,,,,,
65,3-Piece Set,10033000590RS-775,0RS-775,0,4675.00
,,,,,
66,3-Piece Set,09101900590RS-212,0RS-212,0,7600.00
,,,,,
67,3-Piece Set,09103100590RS-1680,0RS-1680,0,6950.00
,,,,,
68,3-Piece Set,10033000590RS-713,0RS-713,0,2250.00
,,,,,
69,3-Piece Set,10033000590RS-825,0RS-825,0,3175.00
,,,,,
70,3-Piece Set,10010300590RS-219,0RS-219,0,7600.00
,,,,,
71,3-Piece Set,09101600590RS-262,0RS-262,0,3950.00
,,,,,
72,3-Piece Set,09101600590RS-348,0RS-348,0,6250.00
,,,,,
73,3-Piece Set,09101900590RS-220,0RS-220,0,6500.00
,,,,,
74,3-Piece Set,10010300590RS-511,0RS-511,0,3285.00
,,,,,
75,3-Piece Set,10033000590RS-788,0RS-788,0,6075.00
,,,,,
76,3-Piece Set,09101900590RS-204,0RS-204,0,6495.00
,,,,,
77,3-Piece Set,09101600590RS-34,0RS-34,0,8500.00
,,,,,
78,3-Piece Set,09101900590RS-216,0RS-216,0,7600.00
,,,,,
79,3-Piece Set,10033000590RS-707,0RS-707,0,5175.00
,,,,,
80,3-Piece Set,09101900590RA-295,0RA-295,0,6990.00
,,,,,
81,3-Piece Set,09103100590RS-342,0RS-342,0,6550.00
,,,,,
82,3-Piece Set,09102100590VI-9903,0VI-9903,0,5450.00
,,,,,
83,3-Piece Set,09101600590RS-143064,0RS-143064,0,4250.00
,,,,,
84,3-Piece Set,10033000590RS-817,0RS-817,0,4975.00
,,,,,
85,3-Piece Set,09121500590RS-447,0RS-447,0,6475.00
,,,,,
86,3-Piece Set,09101600590RS-347,0RS-347,0,6075.00
,,,,,
87,3-Piece Set,09101600590RS-162093,0RS-162093,0,5075.00
,,,,,
